invoice_id,timestamp,day_of_week,hour,channel,zone,cashier_id,client_name,product_name,quantity,total_price,is_anulada,insumo_name,insumo_qty_used,context_event,weather
38,2026-02-01 21:52:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_2,Cliente_111,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
39,2026-02-01 23:43:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_2,Cliente_123,Quesadilla Especial,2,4400.0,False,Queso Muzzarella (kg),0.3,Día Comercial Estándar,Despejado
40,2026-02-01 21:44:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_111,Agua de Horchata Grande,2,1800.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
41,2026-02-01 22:35:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_2,Cliente_119,Taco de Barbacoa,4,7600.0,False,Carne de Barbacoa (kg),0.44,Día Comercial Estándar,Despejado
42,2026-02-01 23:45:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_1,Cliente_VIP_Juan,Taco al Pastor,1,1500.0,False,Carne Al Pastor (kg),0.1,Día Comercial Estándar,Despejado
43,2026-02-01 22:35:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_110,Agua de Horchata Grande,2,0.0,True,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
44,2026-02-01 23:08:00,Domingo,23,Cliente al paso,Zona Sur,Cajero_3_Anomalo,Cliente_127,Taco de Asada,2,3600.0,False,Carne de Res Asada (kg),0.2,Día Comercial Estándar,Despejado
45,2026-02-01 21:18:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_104,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
46,2026-02-01 21:40:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_3_Anomalo,Cliente_135,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
47,2026-02-01 21:57:00,Domingo,21,Cliente al paso,Zona Sur,Cajero_3_Anomalo,Cliente_104,Quesadilla Especial,2,4400.0,False,Queso Muzzarella (kg),0.3,Día Comercial Estándar,Despejado
48,2026-02-01 21:49:00,Domingo,21,Cliente al paso,Barrio Norte,Cajero_1,Cliente_VIP_Marta,Quesadilla Especial,3,6600.0,False,Queso Muzzarella (kg),0.44999999999999996,Día Comercial Estándar,Despejado
49,2026-02-01 22:45:00,Domingo,22,Cliente al paso,Barrio Norte,Cajero_2,Cliente_109,Taco al Pastor,4,6000.0,False,Carne Al Pastor (kg),0.4,Día Comercial Estándar,Despejado
50,2026-02-01 21:54:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_3_Anomalo,Cliente_121,Taco de Carnitas,1,1700.0,False,Carne de Cerdo Carnitas (kg),0.1,Día Comercial Estándar,Despejado
51,2026-02-01 22:26:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_129,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
52,2026-02-01 21:16:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_1,Cliente_144,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
53,2026-02-01 22:52:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_1,Cliente_VIP_Marta,Taco de Asada,1,1800.0,False,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
54,2026-02-01 22:11:00,Domingo,22,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_127,Quesadilla Especial,3,6600.0,False,Queso Muzzarella (kg),0.44999999999999996,Día Comercial Estándar,Despejado
55,2026-02-01 21:18:00,Domingo,21,Envío a domicilio,Zona Sur,Cajero_3_Anomalo,Cliente_118,Taco al Pastor,2,0.0,True,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
56,2026-02-01 21:25:00,Domingo,21,Envío a domicilio,Zona Oeste,Cajero_2,Cliente_131,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
57,2026-02-01 22:48:00,Domingo,22,Envío a domicilio,Zona Sur,Cajero_3_Anomalo,Cliente_148,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
58,2026-02-01 22:59:00,Domingo,22,Cliente al paso,Zona Sur,Cajero_2,Cliente_126,Taco de Asada,1,1800.0,False,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
59,2026-02-01 22:07:00,Domingo,22,Envío a domicilio,Zona Sur,Cajero_1,Cliente_134,Taco de Asada,3,5400.0,False,Carne de Res Asada (kg),0.30000000000000004,Día Comercial Estándar,Despejado
60,2026-02-01 21:28:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_147,Gaseosa en Lata,4,4800.0,False,Bebidas (unidades),4.0,Día Comercial Estándar,Despejado
61,2026-02-01 21:08:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_120,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
62,2026-02-01 22:23:00,Domingo,22,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_140,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
63,2026-02-01 21:48:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_3_Anomalo,Cliente_114,Taco de Carnitas,3,5100.0,False,Carne de Cerdo Carnitas (kg),0.30000000000000004,Día Comercial Estándar,Despejado
64,2026-02-01 22:54:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_2,Cliente_118,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
65,2026-02-01 21:24:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_1,Cliente_148,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
66,2026-02-01 21:31:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_112,Taco de Asada,2,3600.0,False,Carne de Res Asada (kg),0.2,Día Comercial Estándar,Despejado
67,2026-02-01 23:29:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_2,Cliente_101,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
68,2026-02-01 22:20:00,Domingo,22,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_126,Agua de Horchata Grande,4,3600.0,False,Bebidas (unidades),4.0,Día Comercial Estándar,Despejado
69,2026-02-01 20:32:00,Domingo,20,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_VIP_Marta,Quesadilla Especial,2,4400.0,False,Queso Muzzarella (kg),0.3,Día Comercial Estándar,Despejado
70,2026-02-01 21:33:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_127,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
71,2026-02-01 23:28:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_1,Cliente_149,Quesadilla Especial,2,4400.0,False,Queso Muzzarella (kg),0.3,Día Comercial Estándar,Despejado
72,2026-02-01 21:56:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_115,Taco de Carnitas,1,1700.0,False,Carne de Cerdo Carnitas (kg),0.1,Día Comercial Estándar,Despejado
73,2026-02-01 21:19:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_2,Cliente_124,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
74,2026-02-01 21:22:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_137,Taco al Pastor,3,4500.0,False,Carne Al Pastor (kg),0.30000000000000004,Día Comercial Estándar,Despejado
75,2026-02-01 21:55:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_3_Anomalo,Cliente_128,Agua de Horchata Grande,1,900.0,False,Bebidas (unidades),1.0,Día Comercial Estándar,Despejado
76,2026-02-01 21:43:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_1,Cliente_127,Taco al Pastor,4,6000.0,False,Carne Al Pastor (kg),0.4,Día Comercial Estándar,Despejado
77,2026-02-01 22:21:00,Domingo,22,Envío a domicilio,Zona Oeste,Cajero_1,Cliente_126,Taco de Asada,2,3600.0,False,Carne de Res Asada (kg),0.2,Día Comercial Estándar,Despejado
78,2026-02-01 22:12:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_125,Gaseosa en Lata,4,4800.0,False,Bebidas (unidades),4.0,Día Comercial Estándar,Despejado
79,2026-02-01 22:03:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_2,Cliente_107,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
80,2026-02-01 20:03:00,Domingo,20,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_122,Gaseosa en Lata,2,0.0,True,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
81,2026-02-01 22:52:00,Domingo,22,Envío a domicilio,Zona Sur,Cajero_1,Cliente_110,Quesadilla Especial,3,6600.0,False,Queso Muzzarella (kg),0.44999999999999996,Día Comercial Estándar,Despejado
82,2026-02-01 22:36:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_121,Taco de Carnitas,1,1700.0,False,Carne de Cerdo Carnitas (kg),0.1,Día Comercial Estándar,Despejado
83,2026-02-01 20:00:00,Domingo,20,Envío a domicilio,Barrio Norte,Cajero_1,Cliente_108,Taco de Barbacoa,4,7600.0,False,Carne de Barbacoa (kg),0.44,Día Comercial Estándar,Despejado
84,2026-02-01 21:07:00,Domingo,21,Cliente al paso,Barrio Norte,Cajero_1,Cliente_119,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
85,2026-02-01 22:38:00,Domingo,22,Cliente al paso,Zona Sur,Cajero_3_Anomalo,Cliente_119,Taco de Asada,1,1800.0,False,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
86,2026-02-01 22:04:00,Domingo,22,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_116,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
87,2026-02-01 21:09:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_135,Gaseosa en Lata,1,1200.0,False,Bebidas (unidades),1.0,Día Comercial Estándar,Despejado
88,2026-02-01 20:53:00,Domingo,20,Envío a domicilio,Barrio Norte,Cajero_1,Cliente_149,Quesadilla Especial,2,4400.0,False,Queso Muzzarella (kg),0.3,Día Comercial Estándar,Despejado
89,2026-02-01 21:52:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_114,Agua de Horchata Grande,1,900.0,False,Bebidas (unidades),1.0,Día Comercial Estándar,Despejado
90,2026-02-01 21:01:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_2,Cliente_141,Taco de Carnitas,2,3400.0,False,Carne de Cerdo Carnitas (kg),0.2,Día Comercial Estándar,Despejado
91,2026-02-01 22:29:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_139,Taco de Asada,2,3600.0,False,Carne de Res Asada (kg),0.2,Día Comercial Estándar,Despejado
92,2026-02-01 23:59:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_1,Cliente_105,Agua de Horchata Grande,4,3600.0,False,Bebidas (unidades),4.0,Día Comercial Estándar,Despejado
93,2026-02-01 22:21:00,Domingo,22,Cliente al paso,Zona Sur,Cajero_2,Cliente_113,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
94,2026-02-01 20:34:00,Domingo,20,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_140,Taco de Carnitas,2,3400.0,False,Carne de Cerdo Carnitas (kg),0.2,Día Comercial Estándar,Despejado
95,2026-02-01 21:19:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_VIP_Marta,Agua de Horchata Grande,1,900.0,False,Bebidas (unidades),1.0,Día Comercial Estándar,Despejado
96,2026-02-01 20:55:00,Domingo,20,Envío a domicilio,Zona Sur,Cajero_3_Anomalo,Cliente_101,Taco de Asada,1,1800.0,False,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
97,2026-02-01 22:15:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_147,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
98,2026-02-01 21:08:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_142,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
99,2026-02-01 22:36:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_2,Cliente_149,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
100,2026-02-01 22:27:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_120,Taco de Asada,2,3600.0,False,Carne de Res Asada (kg),0.2,Día Comercial Estándar,Despejado
101,2026-02-01 21:53:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_114,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
102,2026-02-01 21:56:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_VIP_Marta,Taco de Carnitas,1,1700.0,False,Carne de Cerdo Carnitas (kg),0.1,Día Comercial Estándar,Despejado
103,2026-02-01 21:11:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_105,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
104,2026-02-01 22:17:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_1,Cliente_110,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
105,2026-02-01 23:54:00,Domingo,23,Cliente al paso,Zona Sur,Cajero_3_Anomalo,Cliente_133,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
106,2026-02-01 20:26:00,Domingo,20,Envío a domicilio,Zona Sur,Cajero_1,Cliente_128,Taco de Carnitas,1,1700.0,False,Carne de Cerdo Carnitas (kg),0.1,Día Comercial Estándar,Despejado
107,2026-02-01 22:22:00,Domingo,22,Cliente al paso,Barrio Norte,Cajero_2,Cliente_143,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
108,2026-02-01 21:16:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_2,Cliente_144,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
109,2026-02-01 22:24:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_1,Cliente_124,Taco de Barbacoa,3,5700.0,False,Carne de Barbacoa (kg),0.33,Día Comercial Estándar,Despejado
110,2026-02-01 22:43:00,Domingo,22,Cliente al paso,Zona Sur,Cajero_1,Cliente_125,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
111,2026-02-01 22:24:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_106,Taco de Barbacoa,3,5700.0,False,Carne de Barbacoa (kg),0.33,Día Comercial Estándar,Despejado
112,2026-02-01 21:20:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_3_Anomalo,Cliente_139,Taco de Barbacoa,3,5700.0,False,Carne de Barbacoa (kg),0.33,Día Comercial Estándar,Despejado
113,2026-02-01 21:56:00,Domingo,21,Cliente al paso,Barrio Norte,Cajero_1,Cliente_119,Taco al Pastor,3,4500.0,False,Carne Al Pastor (kg),0.30000000000000004,Día Comercial Estándar,Despejado
114,2026-02-01 21:56:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_120,Quesadilla Especial,3,6600.0,False,Queso Muzzarella (kg),0.44999999999999996,Día Comercial Estándar,Despejado
115,2026-02-01 20:31:00,Domingo,20,Envío a domicilio,Zona Sur,Cajero_1,Cliente_121,Agua de Horchata Grande,2,1800.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
116,2026-02-01 23:53:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_2,Cliente_113,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
117,2026-02-01 21:40:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_129,Taco de Carnitas,1,1700.0,False,Carne de Cerdo Carnitas (kg),0.1,Día Comercial Estándar,Despejado
118,2026-02-01 20:00:00,Domingo,20,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_VIP_Juan,Quesadilla Especial,3,6600.0,False,Queso Muzzarella (kg),0.44999999999999996,Día Comercial Estándar,Despejado
119,2026-02-01 22:34:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_110,Quesadilla Especial,4,8800.0,False,Queso Muzzarella (kg),0.6,Día Comercial Estándar,Despejado
120,2026-02-01 21:23:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_2,Cliente_114,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
121,2026-02-01 21:01:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_2,Cliente_107,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
122,2026-02-01 21:15:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_119,Agua de Horchata Grande,1,900.0,False,Bebidas (unidades),1.0,Día Comercial Estándar,Despejado
123,2026-02-01 23:54:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_VIP_Juan,Taco de Asada,1,1800.0,False,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
124,2026-02-01 22:34:00,Domingo,22,Cliente al paso,Barrio Norte,Cajero_3_Anomalo,Cliente_119,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
125,2026-02-02 21:04:00,Lunes,21,Cliente al paso,Barrio Norte,Cajero_3_Anomalo,Cliente_121,Taco de Asada,2,3600.0,False,Carne de Res Asada (kg),0.2,Día Comercial Estándar,Despejado
126,2026-02-02 22:54:00,Lunes,22,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_127,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
127,2026-02-02 21:59:00,Lunes,21,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_117,Taco de Carnitas,4,6800.0,False,Carne de Cerdo Carnitas (kg),0.4,Día Comercial Estándar,Despejado
128,2026-02-02 20:57:00,Lunes,20,Envío a domicilio,Zona Sur,Cajero_1,Cliente_124,Gaseosa en Lata,1,1200.0,False,Bebidas (unidades),1.0,Día Comercial Estándar,Despejado
129,2026-02-02 23:38:00,Lunes,23,Cliente al paso,Barrio Centro,Cajero_1,Cliente_139,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
